"date","drug1","drug2","drug3","drug4","drug5","drug6","drug7","drug8","drug9","drug10","drug11",
"01 Jan 20","0","0","0","0","0","0","0",,,,,
"02 Jan 20","0","0","0","0","0","0","0",,,,,
"03 Jan 20","0","0","0","0","0","0","0",,,,,
"04 Jan 20","0","0","0","0","0","0","0",,,,,
"05 Jan 20","0","0","0","0","0","0","0",,,,,
"06 Jan 20","0","0","0","0","0","0","0",,,,,
"07 Jan 20","0","0","0","0","0","0","0",,,,,
"08 Jan 20","0","0","0","0","0","0","0",,,,,
"09 Jan 20","0","0","0","0","0","0","0",,,,,
"10 Jan 20","0","0","0","0","0","0","0",,,,,
"11 Jan 20","0","0","0","0","0","0","0",,,,,
"12 Jan 20","0","0","0","0","0","0","0",,,,,
"13 Jan 20","0","0","0","0","0","0","0",,,,,
"14 Jan 20","0","0","0","0","0","0","0",,,,,
"15 Jan 20","0","0","0","0","0","0","0",,,,,
"16 Jan 20","0","0","0","0","0","0","0",,,,,
"17 Jan 20","0","0","0","0","0","0","0",,,,,
"18 Jan 20","0","0","0","0","0","0","0",,,,,
"19 Jan 20","0","0","0","0","0","0","0",,,,,
"20 Jan 20","0","0","0","0","0","0","0",,,,,
"21 Jan 20","0","0","0","0","0","0","0",,,,,
"22 Jan 20","0","0","0","0","0","0","0",,,,,
"23 Jan 20","0","0","0","0","0","0","0",,,,,
"24 Jan 20","0","0","0","0","0","0","0",,,,,
"25 Jan 20","0","0","0","0","0","0","0",,,,,
"26 Jan 20","0","0","0","0","0","0","0",,,,,
"27 Jan 20","0","0","0","0","0","0","0",,,,,
"28 Jan 20","0","0","0","0","0","0","0",,,,,
"29 Jan 20","0","0","0","0","0","0","0",,,,,
"30 Jan 20","0","0","0","0","0","0","0",,,,,
"31 Jan 20","0","0","0","0","0","0","0",,,,,
